Instellingscode|Vestigingsnummer|Gemeentenaam volgens RIO|Gemeentecode per 1 januari 2025|Gemeentenaam per 1 januari 2025
24JF|07|'S-GRAVENHAGE|0518|'s-Gravenhage
24JF|08|HENGELO|0164|Hengelo
24KB|00|DOETINCHEM|0222|Doetinchem
24KB|02|ENSCHEDE|0153|Enschede
24KB|04|EINDHOVEN|0772|Eindhoven
24KB|05|EMMEN|0114|Emmen
24KB|06|ROTTERDAM|0599|Rotterdam
24KB|07|ALKMAAR|0361|Alkmaar
24KB|08|LEEUWARDEN|0080|Leeuwarden
24KB|09|ZWOLLE|0193|Zwolle
24KB|10|AMSTERDAM|0363|Amsterdam
24KB|11|UTRECHT|0344|Utrecht
24KB|12|GRONINGEN|0014|Groningen
24KB|13|BREDA|0758|Breda
24KD|00|AMSTERDAM|0363|Amsterdam
24KD|01|RHEDEN|0275|Rheden
24KD|02|ROTTERDAM|0599|Rotterdam
24KD|03|ZWOLLE|0193|Zwolle
24KD|04|HOORN|0405|Hoorn
24KD|05|ALKMAAR|0361|Alkmaar
24KD|06|LEIDERDORP|0547|Leiderdorp
24KD|07|APELDOORN|0200|Apeldoorn
24KD|08|ENSCHEDE|0153|Enschede
24KD|10|GRONINGEN|0014|Groningen
24KD|11|LEEUWARDEN|0080|Leeuwarden
24KD|12|'S-GRAVENHAGE|0518|'s-Gravenhage
24KD|13|AMERSFOORT|0307|Amersfoort
24KD|14|UTRECHT|0344|Utrecht
24KD|15|ZAANSTAD|0479|Zaanstad
24KD|16|SMALLINGERLAND|0090|Smallingerland
24KD|17|LAARBEEK|1659|Laarbeek
24KD|18|BREDA|0758|Breda
24KD|19|EINDHOVEN|0772|Eindhoven
24KD|20|ROERMOND|0957|Roermond
24KD|21|SITTARD|1883|Sittard-Geleen
24KD|22|MAASTRICHT|0935|Maastricht
24KD|23|ALMERE|0034|Almere
24KD|24|GOUDA|0513|Gouda
24KD|25|HAARLEM|0392|Haarlem
24KD|26|RIJSWIJK|0603|Rijswijk
24KD|27|ZOETERMEER|0637|Zoetermeer
24KD|28|SPIJKENISSE|1930|Nissewaard
24KD|29|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
24KD|30|SCHAGEN|0441|Schagen
24KD|31|DOETINCHEM|0222|Doetinchem
24KD|32|BERGEN OP ZOOM|0748|Bergen op Zoom
24KD|33|ETTEN-LEUR|0777|Etten-Leur
24KD|34|NIJMEGEN|0268|Nijmegen
24KD|35|ROOSENDAAL|1674|Roosendaal
24KD|36|GOES|0664|Goes
24KD|37|LEIDEN|0546|Leiden
24KD|38|TILBURG|0855|Tilburg
24KD|39|ARNHEM|0202|Arnhem
24KF|01|'S-GRAVENHAGE|0518|'s-Gravenhage
24KF|02|UTRECHT|0344|Utrecht
24KM|00|AMSTERDAM|0363|Amsterdam
24KX|00|ARNHEM|0202|Arnhem
24KX|02|GRONINGEN|0014|Groningen
24KX|03|ENSCHEDE|0153|Enschede
24KX|04|DIEMEN|0384|Diemen
24KX|05|ROTTERDAM|0599|Rotterdam
24KX|06|WEERT|0988|Weert
24KX|08|ZWOLLE|0193|Zwolle
24KX|09|LEEUWARDEN|0080|Leeuwarden
24KX|10|BREDA|0758|Breda
24KX|11|UTRECHT|0344|Utrecht
24KX|12|MAASTRICHT|0935|Maastricht
24KX|13|AMSTERDAM|0363|Amsterdam
24LE|00|LEEUWARDEN|0080|Leeuwarden
24LE|01|GRONINGEN|0014|Groningen
24LJ|00|HILVERSUM|0402|Hilversum
24LK|00|LEIDERDORP|0547|Leiderdorp
24LY|00|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
24ME|00|HAARLEMMERMEER|0394|Haarlemmermeer
24MV|00|GRONINGEN|0014|Groningen
24RF|00|VEENENDAAL|0345|Veenendaal
24UY|01|LEIDEN|0546|Leiden
24VP|00|UTRECHT|0344|Utrecht
24XP|00|BREDA|0758|Breda
24XU|00|'S-GRAVENHAGE|0518|'s-Gravenhage
24YE|00|AMSTERDAM|0363|Amsterdam
24YE|01|SMALLINGERLAND|0090|Smallingerland
24YE|02|'S-GRAVENHAGE|0518|'s-Gravenhage
24YE|03|WAGENINGEN|0289|Wageningen
24ZL|01|ALMERE|0034|Almere
25AC|00|UTRECHT|0344|Utrecht
25AC|02|AMSTERDAM|0363|Amsterdam
25AJ|00|ROTTERDAM|0599|Rotterdam
25AJ|02|NIEUWEGEIN|0356|Nieuwegein
25AJ|03|'S-GRAVENHAGE|0518|'s-Gravenhage
25AJ|04|AMERSFOORT|0307|Amersfoort
25AJ|05|APELDOORN|0200|Apeldoorn
25AJ|06|MIDDELBURG|0687|Middelburg
25AJ|07|AMSTERDAM|0363|Amsterdam
25AJ|08|ENSCHEDE|0153|Enschede
25AJ|10|DORDRECHT|0505|Dordrecht
25AJ|11|BREDA|0758|Breda
25AL|00|ZWOLLE|0193|Zwolle
25AL|02|UTRECHT|0344|Utrecht
25AL|03|AMSTERDAM|0363|Amsterdam
25AL|04|'S-GRAVENHAGE|0518|'s-Gravenhage
25AL|05|ROTTERDAM|0599|Rotterdam
25AV|00|KAMPEN|0166|Kampen
25AV|01|UTRECHT|0344|Utrecht
25AY|01|DEVENTER|0150|Deventer
25AY|02|APELDOORN|0200|Apeldoorn
25AY|03|AMSTERDAM|0363|Amsterdam
25BA|00|EDE|0228|Ede
25BA|01|DORDRECHT|0505|Dordrecht
25BE|00|GRONINGEN|0014|Groningen
25BE|01|LEEUWARDEN|0080|Leeuwarden
25BE|02|AMSTERDAM|0363|Amsterdam
25BE|03|RENKUM|0274|Renkum
25BE|04|ASSEN|0106|Assen
25BE|05|UTRECHT|0344|Utrecht
25BV|01|UTRECHT|0344|Utrecht
25BV|02|AMSTERDAM|0363|Amsterdam
25BV|03|ROTTERDAM|0599|Rotterdam
25BV|04|ZWOLLE|0193|Zwolle
25BV|05|EINDHOVEN|0772|Eindhoven
25BV|06|VOORBURG|1916|Leidschendam-Voorburg
25BV|07|GRONINGEN|0014|Groningen
25BV|08|ARNHEM|0202|Arnhem
25BV|09|MAASTRICHT|0935|Maastricht
25BV|10|ENSCHEDE|0153|Enschede
25BV|11|BREDA|0758|Breda
25BV|12|ALKMAAR|0361|Alkmaar
25BV|15|TILBURG|0855|Tilburg
25BV|16|LEEUWARDEN|0080|Leeuwarden
25BV|17|AMERSFOORT|0307|Amersfoort
25BV|18|LEIDEN|0546|Leiden
25BV|19|NIJMEGEN|0268|Nijmegen
25BV|20|APELDOORN|0200|Apeldoorn
25BV|21|ZALTBOMMEL|0297|Zaltbommel
25BV|22|'S-GRAVENHAGE|0518|'s-Gravenhage
25BV|23|ALMERE|0034|Almere
25BV|24|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
25BV|25|SMALLINGERLAND|0090|Smallingerland
25CG|00|ALMELO|0141|Almelo
25CG|02|ENSCHEDE|0153|Enschede
25CG|03|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
25CG|04|SITTARD|1883|Sittard-Geleen
25CG|07|HENGELO|0164|Hengelo
25CG|08|HAARLEM|0392|Haarlem
25CG|09|LEIDSCHENDAM|1916|Leidschendam-Voorburg
25CG|13|ROTTERDAM|0599|Rotterdam
25CG|14|ARNHEM|0202|Arnhem
25CG|15|GRONINGEN|0014|Groningen
25CG|16|AMSTERDAM|0363|Amsterdam
25CW|00|GOUDA|0513|Gouda
25DW|00|UTRECHT|0344|Utrecht
25DW|16|AMERSFOORT|0307|Amersfoort
25DW|20|AMSTERDAM|0363|Amsterdam
25DW|21|ARNHEM|0202|Arnhem
25DW|22|DOETINCHEM|0222|Doetinchem
25DW|23|ENSCHEDE|0153|Enschede
25DW|24|'S-GRAVENHAGE|0518|'s-Gravenhage
25DW|25|HAREN GN|0014|Groningen
25DW|26|VLISSINGEN|0718|Vlissingen
25DW|27|MAASTRICHT|0935|Maastricht
25DW|28|ROTTERDAM|0599|Rotterdam
25DW|29|ZWOLLE|0193|Zwolle
25DW|33|VELSEN|0453|Velsen
25FM|00|DORDRECHT|0505|Dordrecht
25FM|01|AMSTERDAM|0363|Amsterdam
25FM|02|SCHIEDAM|0606|Schiedam
25FM|03|ZWOLLE|0193|Zwolle
25FM|04|ALMERE|0034|Almere
25JX|00|HEERLEN|0917|Heerlen
25JX|07|SITTARD-GELEEN|1883|Sittard-Geleen
25JX|13|MAASTRICHT|0935|Maastricht
25JX|14|TILBURG|0855|Tilburg
25KB|00|ARNHEM|0202|Arnhem
25KB|01|NIJMEGEN|0268|Nijmegen
25KB|02|APELDOORN|0200|Apeldoorn
25KB|03|EDE|0228|Ede
25RR|00|ARNHEM|0202|Arnhem
25RR|02|UTRECHT|0344|Utrecht
25RR|03|AMSTERDAM|0363|Amsterdam
25RR|04|OVERBETUWE|1734|Overbetuwe
25ZF|01|DELFT|0503|Delft
26PA|00|TILBURG|0855|Tilburg
26PA|01|EINDHOVEN|0772|Eindhoven
26PA|02|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
26PA|03|HELMOND|0794|Helmond
26PA|04|BREDA|0758|Breda
26PA|06|ROOSENDAAL|1674|Roosendaal
26PA|07|BERGEN OP ZOOM|0748|Bergen op Zoom
26PA|08|HEERLEN|0917|Heerlen
26PA|09|MAASTRICHT|0935|Maastricht
26PA|10|ROERMOND|0957|Roermond
26PA|11|SITTARD-GELEEN|1883|Sittard-Geleen
26PA|12|VENLO|0983|Venlo
26PA|13|WEERT|0988|Weert
26PA|14|WAALWIJK|0867|Waalwijk
26PA|15|NIJMEGEN|0268|Nijmegen
26PA|16|AMSTERDAM|0363|Amsterdam
26PA|17|UTRECHT|0344|Utrecht
27NE|00|ARNHEM|0202|Arnhem
27NF|01|ARNHEM|0202|Arnhem
27NF|02|ENSCHEDE|0153|Enschede
27NF|03|ZWOLLE|0193|Zwolle
27NF|04|KAMPEN|0166|Kampen
27PZ|00|ROTTERDAM|0599|Rotterdam
27PZ|01|DIEMEN|0384|Diemen
27PZ|02|ALKMAAR|0361|Alkmaar
27PZ|03|HAARLEM|0392|Haarlem
27PZ|05|DORDRECHT|0505|Dordrecht
27PZ|06|ZAANSTAD|0479|Zaanstad
27PZ|07|AMSTERDAM|0363|Amsterdam
27PZ|08|DELFT|0503|Delft
27PZ|09|'S-GRAVENHAGE|0518|'s-Gravenhage
27PZ|10|OEGSTGEEST|0579|Oegstgeest
27PZ|11|GRONINGEN|0014|Groningen
27PZ|12|VLISSINGEN|0718|Vlissingen
27PZ|13|UTRECHT|0344|Utrecht
27PZ|14|ZWOLLE|0193|Zwolle
27PZ|15|NIJMEGEN|0268|Nijmegen
27PZ|16|HAARLEMMERMEER|0394|Haarlemmermeer
27PZ|17|LEEUWARDEN|0080|Leeuwarden
27PZ|18|VELSEN|0453|Velsen
27UM|01|'S-GRAVENHAGE|0518|'s-Gravenhage
27UM|02|ZOETERMEER|0637|Zoetermeer
27UM|03|LEIDEN|0546|Leiden
27UM|04|RIJSWIJK|0603|Rijswijk
27UM|05|DELFT|0503|Delft
27UM|06|UTRECHT|0344|Utrecht
27VW|00|GOUDA|0513|Gouda
27VX|00|EINDHOVEN|0772|Eindhoven
27VY|00|ZWOLLE|0193|Zwolle
27VZ|00|VLISSINGEN|0718|Vlissingen
27WB|00|GOUDA|0513|Gouda
27WC|01|ROTTERDAM|0599|Rotterdam
27WC|02|AMSTERDAM|0363|Amsterdam
27WC|03|UTRECHT|0344|Utrecht
27WC|04|GRONINGEN|0014|Groningen
27WD|00|EDE|0228|Ede
27WE|00|AMSTERDAM|0363|Amsterdam
27WF|00|ZEIST|0355|Zeist
27WG|00|AMSTERDAM|0363|Amsterdam
27WG|02|ROTTERDAM|0599|Rotterdam
27WH|00|GRONINGEN|0014|Groningen
27WJ|00|WOERDEN|0632|Woerden
27WJ|01|ETTEN-LEUR|0777|Etten-Leur
27WJ|02|ROTTERDAM|0599|Rotterdam
27WK|00|'S-GRAVENHAGE|0518|'s-Gravenhage
27WK|01|UTRECHT|0344|Utrecht
27WK|02|ROTTERDAM|0599|Rotterdam
27WK|03|AMSTERDAM|0363|Amsterdam
27WL|01|GOUDA|0513|Gouda
27WM|00|GORINCHEM|0512|Gorinchem
27WN|00|ZEIST|0355|Zeist
27WP|00|'S-GRAVENHAGE|0518|'s-Gravenhage
27WR|00|UTRECHT|0344|Utrecht
27WR|02|LEUSDEN|0327|Leusden
27WR|03|HALDERBERGE|1655|Halderberge
27WR|04|HEUSDEN|0797|Heusden
27WR|05|SOEST|0342|Soest
27WT|00|THORN|1641|Maasgouw
27WT|01|HELMOND|0794|Helmond
27WU|00|DRIEBERGEN-RIJSENBURG|1581|Utrechtse Heuvelrug
27WV|00|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
27WV|01|BREDA|0758|Breda
27WV|02|HALDERBERGE|1655|Halderberge
27WV|03|EINDHOVEN|0772|Eindhoven
27WV|04|TILBURG|0855|Tilburg
27WV|05|AMSTERDAM|0363|Amsterdam
27WV|06|HILVARENBEEK|0798|Hilvarenbeek
27WV|07|UTRECHT|0344|Utrecht
27WV|08|ZWOLLE|0193|Zwolle
27WV|09|NIJMEGEN|0268|Nijmegen
27WV|10|DORDRECHT|0505|Dordrecht
27WV|11|ASSEN|0106|Assen
27WV|12|HEERLEN|0917|Heerlen
27WV|13|LELYSTAD|0995|Lelystad
27WV|14|ALKMAAR|0361|Alkmaar
27WV|15|DELFT|0503|Delft
27WV|16|ROERMOND|0957|Roermond
27WV|17|VENLO|0983|Venlo
27WV|18|ALMELO|0141|Almelo
27WV|19|LEIDEN|0546|Leiden
27WW|01|ENSCHEDE|0153|Enschede
27WW|02|DEVENTER|0150|Deventer
27WW|03|APELDOORN|0200|Apeldoorn
27WX|01|DRIEBERGEN-RIJSENBURG|1581|Utrechtse Heuvelrug
27XL|00|ZWOLLE|0193|Zwolle
27XL|01|LELYSTAD|0995|Lelystad
27XL|04|HEERENVEEN|0074|Heerenveen
27XL|05|LEEUWARDEN|0080|Leeuwarden
27XL|06|EDE|0228|Ede
27XL|07|AMERSFOORT|0307|Amersfoort
27XL|08|APELDOORN|0200|Apeldoorn
27XL|09|ALMELO|0141|Almelo
27XL|10|ASSEN|0106|Assen
27XR|01|AMERSFOORT|0307|Amersfoort
27XT|01|AMSTERDAM|0363|Amsterdam
27XV|01|ZEIST|0355|Zeist
27XW|01|GRONINGEN|0014|Groningen
27XX|00|LEIDEN|0546|Leiden
27XX|01|LEIDEN|0546|Leiden
27XZ|00|UTRECHT|0344|Utrecht
27XZ|01|UTRECHT|0344|Utrecht
27YA|00|MAASTRICHT|0935|Maastricht
27YA|01|Belgie|9910|België
27ZC|00|UTRECHT|0344|Utrecht
27ZC|01|TILBURG|0855|Tilburg
27ZC|03|AMSTERDAM|0363|Amsterdam
28AR|01|ROTTERDAM|0599|Rotterdam
28AT|01|MAASTRICHT|0935|Maastricht
28BM|01|AMSTERDAM|0363|Amsterdam
28CC|00|TILBURG|0855|Tilburg
28CC|01|EINDHOVEN|0772|Eindhoven
28CC|02|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
28CC|03|HELMOND|0794|Helmond
28CC|04|BREDA|0758|Breda
28CC|06|ROOSENDAAL|1674|Roosendaal
28CC|07|BERGEN OP ZOOM|0748|Bergen op Zoom
28CC|08|HEERLEN|0917|Heerlen
28CC|09|MAASTRICHT|0935|Maastricht
28CC|10|ROERMOND|0957|Roermond
28CC|11|SITTARD-GELEEN|1883|Sittard-Geleen
28CC|12|VENLO|0983|Venlo
28CC|13|WEERT|0988|Weert
28CC|14|WAALWIJK|0867|Waalwijk
28CC|15|NIJMEGEN|0268|Nijmegen
28CC|16|AMSTERDAM|0363|Amsterdam
28CC|17|UTRECHT|0344|Utrecht
28DN|00|AMSTERDAM|0363|Amsterdam
28DN|01|ALMERE|0034|Almere
28DN|02|ALKMAAR|0361|Alkmaar
28DN|03|HEEMSKERK|0396|Heemskerk
28DN|04|GRAAFSTROOM|1978|Molenlanden
28DP|01|APELDOORN|0200|Apeldoorn
28DP|02|ZUTPHEN|0301|Zutphen
28DP|03|WOENSDRECHT|0873|Woensdrecht
28DP|04|ARNHEM|0202|Arnhem
28DP|05|ZUTPHEN|0301|Zutphen
28DR|01|AMSTERDAM|0363|Amsterdam
28DT|01|ROTTERDAM|0599|Rotterdam
28DT|02|AMSTERDAM|0363|Amsterdam
28DT|03|ZWOLLE|0193|Zwolle
28DU|01|AMSTERDAM|0363|Amsterdam
28DU|02|EINDHOVEN|0772|Eindhoven
28DU|03|ARNHEM|0202|Arnhem
28DU|04|GRONINGEN|0014|Groningen
28DU|05|ROTTERDAM|0599|Rotterdam
28DU|06|ALMERE|0034|Almere
28DU|07|BREDA|0758|Breda
28DU|08|UTRECHT|0344|Utrecht
28DU|09|'S-GRAVENHAGE|0518|'s-Gravenhage
28DU|10|ZWOLLE|0193|Zwolle
28DW|01|AMERSFOORT|0307|Amersfoort
28DX|00|BUREN|0214|Buren
28DY|01|TILBURG|0855|Tilburg
28EA|01|AMSTERDAM|0363|Amsterdam
29PY|00|DEVENTER|0150|Deventer
29PY|01|ENSCHEDE|0153|Enschede
29PY|02|DORDRECHT|0505|Dordrecht
29PY|03|APELDOORN|0200|Apeldoorn
29PY|04|ZEIST|0355|Zeist
29PY|05|'S-GRAVENHAGE|0518|'s-Gravenhage
29PY|06|HENGELO|0164|Hengelo
29PY|07|UTRECHT|0344|Utrecht
29PY|08|NAARDEN|1942|Gooise Meren
29PZ|01|EINDHOVEN|0772|Eindhoven
29PZ|02|ROTTERDAM|0599|Rotterdam
29PZ|03|ZWOLLE|0193|Zwolle
29PZ|04|AMSTERDAM|0363|Amsterdam
29PZ|05|UTRECHT|0344|Utrecht
29PZ|06|BREDA|0758|Breda
29PZ|07|ALMERE|0034|Almere
29PZ|08|ARNHEM|0202|Arnhem
29PZ|09|'S-GRAVENHAGE|0518|'s-Gravenhage
29PZ|10|GRONINGEN|0014|Groningen
29PZ|11|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
29PZ|12|SMALLINGERLAND|0090|Smallingerland
29PZ|13|ENSCHEDE|0153|Enschede
29PZ|14|LEEUWARDEN|0080|Leeuwarden
29PZ|15|MAASTRICHT|0935|Maastricht
29PZ|16|NIJMEGEN|0268|Nijmegen
29PZ|17|TILBURG|0855|Tilburg
29PZ|18|GOUDA|0513|Gouda
29TP|01|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
29UH|00|'S-GRAVENHAGE|0518|'s-Gravenhage
29UH|01|BREDA|0758|Breda
29UJ|00|AMSTERDAM|0363|Amsterdam
29UJ|01|DIEMEN|0384|Diemen
29UK|00|ROTTERDAM|0599|Rotterdam
29VH|01|UTRECHT|0344|Utrecht
29VH|02|ZALTBOMMEL|0297|Zaltbommel
29VN|00|AMSTERDAM|0363|Amsterdam
29WF|01|LEIDEN|0546|Leiden
29WF|02|AMSTERDAM|0363|Amsterdam
29WJ|01|MAASTRICHT|0935|Maastricht
29WJ|02|EINDHOVEN|0772|Eindhoven
29YE|01|AMSTERDAM|0363|Amsterdam
29YE|02|ROTTERDAM|0599|Rotterdam
29YE|03|ROTTERDAM|0599|Rotterdam
29YE|04|ZWOLLE|0193|Zwolle
29YE|05|UTRECHT|0344|Utrecht
29YE|07|ALKMAAR|0361|Alkmaar
29YE|08|ALMERE|0034|Almere
29YE|09|AMERSFOORT|0307|Amersfoort
29YE|10|HAARLEM|0392|Haarlem
29YE|11|RIJSWIJK|0603|Rijswijk
29YE|12|ZOETERMEER|0637|Zoetermeer
29YE|13|RHEDEN|0275|Rheden
29YE|14|ENSCHEDE|0153|Enschede
29YE|15|GRONINGEN|0014|Groningen
29YE|16|LEEUWARDEN|0080|Leeuwarden
29YE|17|BREDA|0758|Breda
29YE|18|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
29YE|19|NIJMEGEN|0268|Nijmegen
29YE|20|SITTARD-GELEEN|1883|Sittard-Geleen
29ZF|00|HILVERSUM|0402|Hilversum
29ZU|00|TILBURG|0855|Tilburg
30DZ|01|AMSTERDAM|0363|Amsterdam
30DZ|02|ROTTERDAM|0599|Rotterdam
30EA|01|UTRECHT|0344|Utrecht
30EB|01|AMSTERDAM|0363|Amsterdam
30ET|00|BREDA|0758|Breda
30ET|01|VIANEN|1961|Vijfheerenlanden
30ET|02|ARNHEM|0202|Arnhem
30ET|03|AMSTERDAM|0363|Amsterdam
30ET|04|DORDRECHT|0505|Dordrecht
30FA|01|UTRECHT|0344|Utrecht
30FW|01|AMSTERDAM|0363|Amsterdam
30GB|00|EINDHOVEN|0772|Eindhoven
30GB|02|VEGHEL|1948|Meierijstad
30GB|03|VENLO|0983|Venlo
30GB|04|SITTARD-GELEEN|1883|Sittard-Geleen
30GB|07|WAGENINGEN|0289|Wageningen
30GB|08|'S-HERTOGENBOSCH|0796|'s-Hertogenbosch
30GB|13|TILBURG|0855|Tilburg
30GB|19|AMSTERDAM|0363|Amsterdam
30GB|20|BERGEN OP ZOOM|0748|Bergen op Zoom
30GB|21|'S-GRAVENHAGE|0518|'s-Gravenhage
30GB|22|HENGELO (O)|0164|Hengelo
30GB|23|ROTTERDAM|0599|Rotterdam
30GB|24|UTRECHT|0344|Utrecht
30GB|26|NIJMEGEN|0268|Nijmegen
30GB|30|HELMOND|0794|Helmond
30GB|31|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
30GB|32|BREDA|0758|Breda
30GB|33|MAASTRICHT|0935|Maastricht
30GB|34|ZWOLLE|0193|Zwolle
30GW|01|ROTTERDAM|0599|Rotterdam
30GX|01|LEEUWARDEN|0080|Leeuwarden
30HC|00|APELDOORN|0200|Apeldoorn
30HC|01|UTRECHT|0344|Utrecht
30HC|02|AMSTERDAM|0363|Amsterdam
30HC|03|ROTTERDAM|0599|Rotterdam
30HC|04|ZWOLLE|0193|Zwolle
30HC|05|EINDHOVEN|0772|Eindhoven
30HC|06|'S-GRAVENHAGE|0518|'s-Gravenhage
30HD|00|RHEDEN|0275|Rheden
30HD|01|WAGENINGEN|0289|Wageningen
30HD|02|LEEUWARDEN|0080|Leeuwarden
30HT|01|ENSCHEDE|0153|Enschede
30HT|02|LEUSDEN|0327|Leusden
30HT|03|GRONINGEN|0014|Groningen
30HT|04|NUNSPEET|0302|Nunspeet
30KA|01|OOSTERHOUT|0826|Oosterhout
30KA|02|WOERDEN|0632|Woerden
30KA|03|ETTEN-LEUR|0777|Etten-Leur
30KA|04|VEENENDAAL|0345|Veenendaal
30KA|05|ROTTERDAM|0599|Rotterdam
30KA|06|MAASSLUIS|0556|Maassluis
30KA|07|UTRECHTSE HEUVELRUG|1581|Utrechtse Heuvelrug
30KA|08|MAASSLUIS|0556|Maassluis
30KA|10|EDE|0228|Ede
30KV|00|UTRECHT|0344|Utrecht
30NA|01|BREDA|0758|Breda
30NA|02|DEN HELDER|0400|Den Helder
30NA|03|HAARLEMMERMEER|0394|Haarlemmermeer
30NC|00|HAARLEMMERMEER|0394|Haarlemmermeer
30ND|00|'S-GRAVENHAGE|0518|'s-Gravenhage
30PB|00|AMSTERDAM|0363|Amsterdam
30PH|00|GRONINGEN|0014|Groningen
30PH|01|ARNHEM|0202|Arnhem
30RB|00|ROTTERDAM|0599|Rotterdam
30RK|01|LEIDEN|0546|Leiden
30RK|02|AMSTERDAM|0363|Amsterdam
30RK|03|HAARLEM|0392|Haarlem
30TX|01|DRONTEN|0303|Dronten
30TX|02|ALMERE|0034|Almere
30TX|03|WAGENINGEN|0289|Wageningen
30TX|04|NIJMEGEN|0268|Nijmegen
30UA|00|HOUTEN|0321|Houten
30VF|00|Saba|9003|Saba
30VP|00|ROTTERDAM|0599|Rotterdam
30WG|01|DORDRECHT|0505|Dordrecht
30WG|02|GORINCHEM|0512|Gorinchem
30WG|03|OUDER-AMSTEL|0437|Ouder-Amstel
30WG|04|AMSTERDAM|0363|Amsterdam
30XN|01|EEMSMOND|1966|Het Hogeland
30XN|02|VELSEN|0453|Velsen
30XN|03|ROTTERDAM|0599|Rotterdam
30XN|04|VLISSINGEN|0718|Vlissingen
30YF|00|APELDOORN|0200|Apeldoorn
30YF|01|AMSTERDAM|0363|Amsterdam
30YF|02|ROTTERDAM|0599|Rotterdam
30YF|03|VENLO|0983|Venlo
30YF|04|HILVERSUM|0402|Hilversum
30YF|05|EINDHOVEN|0772|Eindhoven
31BM|00|ROTTERDAM|0599|Rotterdam
31FR|00|LEEUWARDEN|0080|Leeuwarden
31FR|01|EMMEN|0114|Emmen
31FR|02|GRONINGEN|0014|Groningen
31FR|03|MEPPEL|0119|Meppel
31FR|04|ASSEN|0106|Assen
31FR|05|TERSCHELLING|0093|Terschelling
31FR|06|ZWOLLE|0193|Zwolle
31FR|07|AMSTERDAM|0363|Amsterdam
31PT|00|UTRECHT|0344|Utrecht
31RK|00|BREDA|0758|Breda
31RK|01|AMSTERDAM|0363|Amsterdam
31RK|02|HAARLEMMERMEER|0394|Haarlemmermeer
31RK|03|UTRECHT|0344|Utrecht
32AZ|00|AMSTERDAM|0363|Amsterdam
32CM|00|HAARLEM|0392|Haarlem
32CZ|01|UTRECHT|0344|Utrecht
32DF|00|AMSTERDAM|0363|Amsterdam
